Provisional_Death_Counts_for_Influenza__Pneumonia__and_COVID-19_20240928 (1),,,,,,,,,,,,,
Data As Of,Start Week,End Week,Jurisdiction,Age Group,Total Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Month-Year,,,,,,
11/02/2023,12/29/2019,01/04/2020,United States,All Ages,60028,4534,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Alabama,All Ages,1098,72,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Alaska,All Ages,91,,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Arizona,All Ages,1278,87,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Arkansas,All Ages,697,63,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,California,All Ages,5865,508,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Colorado,All Ages,839,52,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Connecticut,All Ages,638,35,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Delaware,All Ages,207,11,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,District of Columbia,All Ages,95,,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Florida,All Ages,4240,277,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Georgia,All Ages,1813,134,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Hawaii,All Ages,240,28,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Idaho,All Ages,279,21,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Illinois,All Ages,2261,149,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Indiana,All Ages,1445,131,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Iowa,All Ages,667,39,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Kansas,All Ages,605,60,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Kentucky,All Ages,1097,103,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Louisiana,All Ages,930,56,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Maine,All Ages,325,22,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Maryland,All Ages,1066,102,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Massachusetts,All Ages,1215,97,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Michigan,All Ages,2062,128,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Minnesota,All Ages,994,69,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Mississippi,All Ages,675,63,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Missouri,All Ages,1266,81,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Montana,All Ages,234,16,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Nebraska,All Ages,346,30,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,Nevada,All Ages,506,43,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,New Hampshire,All Ages,266,19,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,New Jersey,All Ages,1641,82,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,New Mexico,All Ages,433,42,Jan-2020,,,,,,
11/02/2023,12/29/2019,01/04/2020,New York,All Ages,2202,218,Jan-2020,,,,,,
